COLLEGE NAME,DEPARTMENT,MARK,LOCATION,,PERCENTAGE
KMCT COLLEGE OF ENGINEERING,Computer Science And Engineering,45,CALICUT,,67.00%
KMCT COLLEGE OF ENGINEERING,Applied Electronics,45,CALICUT,,78.00%
KMCT COLLEGE OF ENGINEERING,Civil Engineering,45,CALICUT,,57.00%
KMCT COLLEGE OF ENGINEERING,Electronic and Communication Engineering,45,CALICUT,,72.00%
KMCT COLLEGE OF ENGINEERING,IT,45,CALICUT,,79.00%
KMCT COLLEGE OF ENGINEERING,Mechanical Engineering,45,CALICUT,,60.00%
KMCT COLLEGE OF ENGINEERING,Automobile Engineering,45,CALICUT,,58.00%
KMCT COLLEGE OF ENGINEERING,Electrical And Electronics Engineering,45,CALICUT,,61.00%
M-DIT,Mechanical Engineering,45,CALICUT,,65.00%
M-DIT,Electronics and Communication Engineering,45,CALICUT,,46.00%
M-DIT,Civil Engineering,45,CALICUT,,43.00%
M-DIT,Computer Science And Engineering,45,CALICUT,,74.00%
M-DIT,electronics And Computer Engineering,45,CALICUT,,64.00%
M-DIT,Electrical And Electronics Engineering,45,CALICUT,,61.00%
M-DIT,Electrical And Computer Engineering,45,CALICUT,,75.00%
M-DIT,Cyber security,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Computer Science And Design,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Chemical Engineering,45,CALICUT,,77.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Electronics and Communication Engineering,45,CALICUT,,52.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Applied Electronics And Instrumentation,45,CALICUT,,49.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Civil Engineering,45,CALICUT,,72.00%
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,Mechanical Engineering,45,CALICUT,,71.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Computer Science And Engineering,45,CALICUT,,46.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Civil Engineering,45,CALICUT,,60.00%
KMCT COLLEGE OF ENGINEERING FOR WOMENS,Biomedical Engineering,45,CALICUT,,42.00%
COLLEGE OF ENGINEERING VADAKARA,Computer Science And Engineering,45,CALICUT,,66.00%
COLLEGE OF ENGINEERING VADAKARA,Information Technology,45,CALICUT,,76.00%
COLLEGE OF ENGINEERING VADAKARA,Electrical And Electronics Engineering,45,CALICUT,,41.00%
COLLEGE OF ENGINEERING VADAKARA,Electronics and Communication Engineering,45,CALICUT,,77.00%
COLLEGE OF ENGINEERING VADAKARA,Civil Engineering,45,CALICUT,,79.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Computer Science And Engineering,45,CALICUT,,73.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Electronics and Communication Engineering,45,CALICUT,,52.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Cyber security,45,CALICUT,,75.00%
KMCT INSTITUTE OF EMERGING TECHNOLOGY & MANAGEMENT,Artifical Intelligence & Data Science,45,CALICUT,,70.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Computer Science And Engineering,75,CALICUT,,70.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Biotechnology,75,CALICUT,,58.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Electrical And Electronics Engineering,75,CALICUT,,45.00%
NATIONAL INSTITUTE OF TECHNOLOGY,Engineering Physics,75,CALICUT,,80.00%
